Rank,Country,Speed (Mbps)
1,Singapore,285.02
2,United Arab Emirates,283.34
3,Hong Kong (SAR),271.05
4,Chile,263.32
5,United States,244.68
6,Iceland,242.03
7,France,232.30
8,Thailand,230.98
9,Denmark,224.82
10,China,223.57
11,Spain,211.56
12,Romania,207.04
13,Switzerland,202.74
14,Israel,201.60
15,Japan,193.54
16,Canada,191.54
17,Taiwan,190.32
18,Netherlands,190.13
19,Liechtenstein,187.79
20,Hungary,180.90
21,New Zealand,177.96
22,Portugal,177.00
23,Kuwait,172.00
24,Brazil,160.82
25,Macau (SAR),159.63
26,Uruguay,156.75
27,Qatar,155.19
28,Poland,154.66
29,Peru,151.09
30,Panama,150.15
31,South Korea,150.08
32,Sweden,149.84
33,Luxembourg,146.47
34,Jordan,143.86
35,Colombia,140.17
36,Norway,138.61
37,Vietnam,136.06
38,Malaysia,132.67
39,Moldova,130.46
40,Ireland,126.31
41,Lithuania,121.27
42,Trinidad and Tobago,119.13
43,Finland,116.09
44,Malta,115.44
45,Saudi Arabia,112.44
46,United Kingdom,106.51
47,Austria,99.72
48,Belgium,96.97
49,San Marino,94.78
50,Philippines,94.42
51,Costa Rica,94.33
52,Barbados,94.25
53,Latvia,93.56
54,Slovenia,93.37
55,Ecuador,93.32
56,Paraguay,91.44
57,Germany,90.50
58,Grenada,89.70
59,Dominica,88.97
60,Russia,87.08
61,Cyprus,86.61
62,Argentina,84.76
63,Bahrain,84.51
64,Estonia,84.39
65,Slovakia,84.31
66,Guyana,83.41
67,Serbia,83.09
68,Italy,81.40
69,Bulgaria,80.76
70,Ukraine,80.20
71,Egypt,80.00
72,Brunei,77.50
73,Jamaica,75.96
74,Montenegro,74.06
75,Mexico,72.77
76,Kosovo,71.76
77,Nepal,71.72
78,Mongolia,71.58
79,Oman,71.44
80,Czechia,70.34
81,Palestine,67.36
82,Australia,66.58
83,Uzbekistan,65.42
84,Côte d'Ivoire,64.93
85,India,63.99
86,Saint Kitts and Nevis,63.96
87,Albania,63.61
88,Kyrgyzstan,63.57
89,Croatia,62.95
90,Belarus,62.14
91,The Bahamas,61.91
92,Armenia,56.42
93,Nicaragua,55.90
94,Kazakhstan,53.86
95,Venezuela,53.81
96,El Salvador,52.82
97,Mauritius,51.82
98,Guatemala,51.21
99,Greece,49.40
100,Bangladesh,47.43
101,South Africa,47.28
102,Honduras,47.18
103,Belize,47.07
104,Seychelles,45.88
105,Cambodia,45.39
106,North Macedonia,44.20
107,Burkina Faso,42.59
108,Turkey,42.43
109,Congo,41.64
110,Gabon,40.66
111,DR Congo,40.64
112,Antigua and Barbuda,40.24
113,Azerbaijan,39.87
114,Ghana,37.89
115,Laos,37.55
116,Haiti,35.96
117,Madagascar,35.77
118,Dominican Republic,35.38
119,Iraq,34.03
120,Rwanda,33.73
121,Bolivia,33.19
122,Bosnia and Herzegovina,32.54
123,Tajikistan,31.72
124,Morocco,31.43
125,Indonesia,31.38
126,Togo,31.11
127,Georgia,26.70
128,Mauritania,25.33
129,Benin,24.23
130,Senegal,23.99
131,Sri Lanka,22.83
132,Nigeria,22.47
133,Myanmar (Burma),21.15
134,Fiji,19.99
135,Angola,19.47
136,Zambia,19.31
137,Tanzania,18.84
138,Lebanon,16.18
139,Zimbabwe,15.94
140,Somalia,15.90
141,Mozambique,15.85
142,Pakistan,15.26
143,Uganda,15.21
144,Iran,14.77
145,Algeria,14.24
146,Namibia,13.90
147,Maldives,13.48
148,Suriname,12.45
149,Kenya,11.39
150,Libya,11.19
151,Tunisia,10.16
152,Cameroon,9.92
153,Ethiopia,9.56
154,Guinea,9.41
155,Botswana,8.13
156,Yemen,7.30
157,Syria,4.77
158,Afghanistan,3.56
159,Cuba,2.79
