Rank,Country,Speed (Mbps)
1,Qatar,334.63
2,United Arab Emirates,323.61
3,Kuwait,226.56
4,Norway,145.19
5,Denmark,144.93
6,South Korea,139.04
7,China,135.71
8,Saudi Arabia,128.03
9,Netherlands,120.96
10,Bahrain,113.87
11,United States,113.10
12,India,107.03
13,Singapore,104.98
14,France,103.40
15,Finland,103.23
16,Bulgaria,102.35
17,Lithuania,100.38
18,Sweden,100.08
19,Malaysia,98.84
20,Croatia,96.95
21,Estonia,96.09
22,Australia,94.28
23,Switzerland,91.25
24,North Macedonia,89.70
25,Czechia,87.27
26,Latvia,86.92
27,Canada,86.32
28,Portugal,85.02
29,Taiwan,84.51
30,Austria,83.97
31,Greece,82.11
32,Oman,80.19
33,Belgium,79.27
34,Slovenia,73.43
35,New Zealand,72.25
36,Cyprus,67.91
37,Brazil,63.73
38,Romania,61.64
39,Hong Kong (SAR),61.36
40,Germany,57.68
41,Montenegro,57.36
42,Poland,56.97
43,Slovakia,54.75
44,United Kingdom,54.51
45,Hungary,54.44
46,Serbia,53.65
47,Italy,53.63
48,Vietnam,53.38
49,Azerbaijan,52.63
50,South Africa,52.30
51,Thailand,52.05
52,Albania,50.94
53,Spain,50.69
54,Kazakhstan,46.63
55,Japan,46.56
56,Morocco,44.04
57,Israel,43.24
58,Turkey,41.97
59,Ireland,41.11
60,Georgia,40.06
61,Chile,39.91
62,Kosovo,39.00
63,Moldova,38.99
64,Guatemala,37.08
65,Iran,36.97
66,Kyrgyzstan,36.73
67,Lebanon,34.98
68,Costa Rica,33.29
69,Philippines,33.19
70,Argentina,31.72
71,Honduras,31.45
72,Iraq,31.28
73,Mexico,30.91
74,Myanmar (Burma),30.89
75,Armenia,30.63
76,Dominican Republic,30.52
77,Uzbekistan,30.34
78,El Salvador,29.99
79,Laos,28.92
80,Indonesia,28.35
81,Tanzania,27.94
82,Kenya,27.66
83,Cambodia,27.56
84,Jordan,27.16
85,Tunisia,27.13
86,Russia,25.63
87,Egypt,25.49
88,Algeria,24.91
89,Ecuador,24.67
90,Bangladesh,24.49
91,Bosnia and Herzegovina,22.29
92,Nigeria,21.96
93,Ukraine,21.24
94,Peru,20.56
95,Panama,19.32
96,Paraguay,18.94
97,Pakistan,18.67
98,Sri Lanka,18.53
99,Nicaragua,18.44
100,Colombia,18.40
101,Libya,15.36
102,Mongolia,14.96
103,Syria,14.07
104,Venezuela,12.66
105,Belarus,11.87
106,Bolivia,11.09
107,Yemen,6.38
108,Cuba,4.02
